0-2.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-20.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02128.simulator-105.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-216.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-21.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
021.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-226-104-36.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-226-188-56.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-24.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
024.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-25-0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-253.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-25-7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-25.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-261.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0262.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
026.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0271.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
027-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
027-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-27.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-82.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-83.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-8-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-28.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02-90.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-91.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
029.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2.alpha.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02f5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02f7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
02.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
