accountscenter.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
accounts.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
auth.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
horizon.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
meta.graph.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
my-od-1.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.3.0/24
quest.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
store.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
www.meta.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
