aim.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ajt.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alexandrasicignano.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alfa.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alisg.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
allday20.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alpha.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alumni.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
am-et.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
amsn.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
analytics.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
andrea.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ann.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aol.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
app.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
apps.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.thenews.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.yahoo.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
archive.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
art.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ashtonhsu20.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
as-in.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
askimaskim.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
assets.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
atlas.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
att.my.yahoo.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
auth.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
autoconfig.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
autodiscover.beta.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
autodiscover.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
auto.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
av.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
az-az.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b2b.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
backup.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
badge.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
badoo.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
baidu.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
baijialemask.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
banner.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
banuba-live-selfie-filters-and-face-masks-camera.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
barncover.beta.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
barracuda.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
baymsgr2011706.gateway.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bb.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bbm.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bbs.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
be.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
be.msn.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
beta.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
beta.yahoo.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
biblioteca.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bigzipfiles.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
billing.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bip.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blackber.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blackberry.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blackmask1.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
black.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blogmask.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blog.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
