https://prod-au-v15-polaris.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [1bc2186313e4e4497a8d066223235e41]
https://prod-au-v15-polaris.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [b3b08622b2e0629010c3be0f7123972f]
https://prod-au-v15-prometheus.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [00dad63cc05d4285b04ed50c63fcf7b1]
https://prod-au-v15-prometheus.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [4c50a0de53954f09bab27105595eda64]
https://prod-au-v15-services.aips-services.com [200] [GET] [text/html] [] [openresty] [Nginx,OpenResty] [1e1ed7d7a81a6a5008f6250e91be24fe]
https://prod-au-v15-services.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [e1eb459cb88d7beead1cf10b28dc4a80]
https://prod-sg-grafana.aips-services.com [200] [GET] [text/html] [] [openresty] [Nginx,OpenResty] [c3889e7adbe718206f6eea34c9ca7d45]
https://prod-sg-grafana.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [3c3c2f502d729a50863d23f7b2be1ead]
https://prod-sg-kibana.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [7d532d4891e52a5c766a54db045224be]
https://prod-sg-kibana.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [bd444d03b9de554a22b97849d7bc882d]
https://prod-sg-polaris.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [71880efdb639e5f63dcf401f0b6b21aa]
https://prod-sg-polaris.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [f710cf4aa1271be97ec36aa6dd7ee664]
https://prod-sg-prometheus.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [b77fc523234ecd67818dd2e6652b75c4]
https://prod-sg-prometheus.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [c78ac30814f5455078373481cc75e8bf]
https://prod-sg-services.aips-services.com [200] [GET] [text/html] [] [openresty] [Nginx,OpenResty] [e6775d38e71ef8348782285ef76412f3]
https://prod-sg-services.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [0be4064efeba23973e7e8891b76b0657]
https://prod-sg-v15-grafana.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [68cee34bed5d8fc0ffcb9690f939e3ca]
https://prod-sg-v15-grafana.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [b94b8d2df34ee6be4084b85720bf2bc2]
https://prod-sg-v15-kibana.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [1eb8d9e3cd1f76f09ce45cac95e7be6a]
https://prod-sg-v15-kibana.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [aac2ef2650b10fec649db1732bab9715]
https://prod-sg-v15-polaris.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [2af854871336c7bf4aa4e9497d88842f]
https://prod-sg-v15-polaris.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [9b8fa286b14c986e8182ad13d46e6c6d]
https://prod-sg-v15-prometheus.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [226bc56b135f37d420c97254994f7ce0]
https://prod-sg-v15-prometheus.aips-services.com [200] [GET] [text/html] [] [openresty] [vhost] [Nginx,OpenResty] [756228b3b15d1d0dc87c9ca479e8bf22]
