[ci3-software-1] ingest-test-api.eu.newrelic.com:1301
[cisco-aqos] ingest-test-api.eu.newrelic.com:9081
[cisco-sccp] ingest-test-api.eu.newrelic.com:2000
[cisco-tdp] ingest-test-api.eu.newrelic.com:711
[citrix-ica] ingest-test-api.eu.newrelic.com:1494
[clariion-evr01] ingest-test-api.eu.newrelic.com:6389
[cm] ingest-test-api.eu.newrelic.com:5910
[cmip-man] ingest-test-api.eu.newrelic.com:163
[cnrprotocol] ingest-test-api.eu.newrelic.com:1096
[cognex-insight] ingest-test-api.eu.newrelic.com:1069
[coldfusion-auth] ingest-test-api.eu.newrelic.com:44442
[coldfusion-auth] ingest-test-api.eu.newrelic.com:44443
[commplex-link] ingest-test-api.eu.newrelic.com:5001
[compaqdiag] ingest-test-api.eu.newrelic.com:2301
[compaqdiag] ingest-test-api.eu.newrelic.com:49400
[compaq-https] ingest-test-api.eu.newrelic.com:2381
[compressnet] ingest-test-api.eu.newrelic.com:3
[condor] ingest-test-api.eu.newrelic.com:9618
[conf] ingest-test-api.eu.newrelic.com:2008
[connection] ingest-test-api.eu.newrelic.com:2607
[corba-iiop] ingest-test-api.eu.newrelic.com:683
[corbaloc] ingest-test-api.eu.newrelic.com:2809
[cpdlc] ingest-test-api.eu.newrelic.com:5911
[cplscrambler-al] ingest-test-api.eu.newrelic.com:1088
[cplscrambler-in] ingest-test-api.eu.newrelic.com:1087
[cplscrambler-lg] ingest-test-api.eu.newrelic.com:1086
[csd-mgmt-port] ingest-test-api.eu.newrelic.com:3071
[cslistener] ingest-test-api.eu.newrelic.com:9000
[cspmlockmgr] ingest-test-api.eu.newrelic.com:1272
[ctf] ingest-test-api.eu.newrelic.com:84
[cvd] ingest-test-api.eu.newrelic.com:8400
[cvspserver] ingest-test-api.eu.newrelic.com:2401
[dandv-tester] ingest-test-api.eu.newrelic.com:3889
[danf-ak2] ingest-test-api.eu.newrelic.com:1041
[daytime] ingest-test-api.eu.newrelic.com:13
[dc] ingest-test-api.eu.newrelic.com:2001
[dcutility] ingest-test-api.eu.newrelic.com:1044
[ddrepl] ingest-test-api.eu.newrelic.com:4126
[ddt] ingest-test-api.eu.newrelic.com:1052
[dec-notes] ingest-test-api.eu.newrelic.com:3333
[dectalk] ingest-test-api.eu.newrelic.com:2007
[deslogind] ingest-test-api.eu.newrelic.com:3006
[deslogin] ingest-test-api.eu.newrelic.com:2005
[deslogin] ingest-test-api.eu.newrelic.com:3005
[device2] ingest-test-api.eu.newrelic.com:2030
[device] ingest-test-api.eu.newrelic.com:801
[dif-port] ingest-test-api.eu.newrelic.com:2251
[discard] ingest-test-api.eu.newrelic.com:9
[disclose] ingest-test-api.eu.newrelic.com:667
[distinct32] ingest-test-api.eu.newrelic.com:9998
[dlip] ingest-test-api.eu.newrelic.com:7201
[dls] ingest-test-api.eu.newrelic.com:2047
[dls-monitor] ingest-test-api.eu.newrelic.com:2048
[dlsrpn] ingest-test-api.eu.newrelic.com:2065
[dmidi] ingest-test-api.eu.newrelic.com:1199
